,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
16S2BurbankLow,0,0.935613273,0.855164067,0.765593724,0.857071867,0.840542648,0.920107622,0.780075767,0.903690225,0.868552607,0.974953374,0.880573097,0.923620623,0.969810734,0.852194153,0.926687104,0.757476764,0.851442605,0.628651113,0.967400256,0.761863948,0.920936261,0.852270226,0.556481331,0.95682266,0.774872754,0.916879711,0.771238709,0.934980149,0.928058842,0.979961876,0.972190694,0.99758162,0.810514447,0.970570544,0.883391635,0.99758162,0.943586853,0.953136512,0.931790187,0.955816432,0.940077358,0.938454156,0.981898483,0.939265248,0.971654295,0.794925476,0.95216985,0.93708821,0.930195689,0.948019316,0.912119109,0.861530039,0.945045174,0.97496543,0.979147624,0.909347289,0.9406923,0.944147248
16S2Cor_C_135High,0.935613273,0,0.64954056,0.893686558,0.671002975,0.848322412,0.584121939,0.875384423,0.674158285,0.792501012,0.806791263,0.771652471,0.645994966,0.586375863,0.840799276,0.669921177,0.872833062,0.776969054,0.931926852,0.878753241,0.953048905,0.747164435,0.901345168,0.820966437,0.765734079,0.821412001,0.61069825,0.865583456,0.769713865,0.854363853,0.736584606,0.783402879,0.946564885,0.772467173,0.662842831,0.745930431,0.822335025,0.797670781,0.813451777,0.891045599,0.754333968,0.77572272,0.820735638,0.78200434,0.805515454,0.797600897,0.944047897,0.772348453,0.796705204,0.877261173,0.941621622,0.751646612,0.778791836,0.822335025,0.789190191,0.777399624,0.77798186,0.729983941,0.797080544
16S2Cor_C_56High,0.855164067,0.64954056,0,0.772920061,0.618649843,0.768753699,0.618773859,0.778954135,0.595597223,0.788871491,0.744590529,0.780208392,0.63988488,0.734276358,0.824941537,0.627919098,0.877287797,0.699210888,0.840841539,0.813954402,0.861250559,0.669208977,0.853528067,0.798181116,0.797727148,0.728627853,0.595659924,0.803839962,0.773716937,0.796527439,0.78639995,0.803470653,0.946564885,0.790761805,0.78755283,0.802249846,0.85713843,0.858462827,0.877809945,0.876792479,0.769959995,0.773999033,0.872239967,0.825448046,0.830785677,0.812965226,0.851535929,0.754066286,0.803737877,0.865403917,0.92590182,0.797759349,0.739805729,0.858658756,0.824807616,0.808412014,0.80558072,0.791743898,0.829470139
16S2Cor_C_56Low,0.765593724,0.893686558,0.772920061,0,0.769312742,0.804967874,0.802949368,0.691889422,0.840795519,0.830559304,0.92765562,0.864810031,0.811565669,0.879909451,0.846992941,0.833228387,0.841569238,0.755271997,0.743485069,0.955058143,0.765766876,0.788374487,0.759565843,0.857386894,0.869096152,0.584541843,0.804189567,0.849855104,0.868468784,0.875572741,0.919105106,0.943910953,0.974707432,0.870577453,0.916553344,0.827297552,0.951673278,0.905860335,0.953201875,0.889124945,0.856559497,0.906545551,0.912696341,0.932958843,0.928915458,0.886165673,0.851340995,0.889168471,0.883112764,0.860506834,0.926178799,0.867398925,0.773624856,0.907923401,0.949381343,0.930529721,0.88745305,0.888823456,0.874392627
16S2Cor_C_95High,0.857071867,0.671002975,0.618649843,0.769312742,0,0.788710204,0.615258889,0.791527863,0.509335386,0.72787034,0.899470256,0.795823503,0.687922033,0.68286813,0.829153233,0.626914545,0.833051976,0.61762495,0.79448325,0.859136369,0.84270721,0.651402851,0.811462869,0.837836399,0.68181348,0.675222782,0.601472284,0.806372453,0.725352683,0.825140761,0.858322638,0.891188939,0.941633624,0.796015762,0.764279537,0.842869948,0.903814489,0.911480727,0.9208913,0.832563629,0.796759498,0.850212509,0.903779869,0.895647966,0.80936084,0.843501822,0.884977642,0.817978781,0.849541128,0.784911622,0.901757663,0.818485806,0.814870308,0.879293355,0.891721799,0.841847964,0.845448448,0.796032184,0.834493364
16S2Cor_C_95Low,0.840542648,0.848322412,0.768753699,0.804967874,0.788710204,0,0.734482564,0.623071003,0.808415137,0.832836317,0.854413772,0.651161959,0.767556035,0.709897883,0.738347883,0.800333862,0.851091538,0.777318169,0.740894451,0.778649134,0.881028073,0.743607361,0.841905647,0.767184412,0.787022034,0.664774834,0.774528537,0.804500745,0.794425138,0.727103841,0.871853174,0.843962396,0.946564885,0.803841586,0.864705888,0.750479581,0.888530905,0.856056781,0.821438815,0.67952095,0.800101648,0.759036661,0.810374292,0.906327166,0.861264934,0.856796826,0.82160353,0.830234101,0.852958368,0.728331432,0.805782384,0.792747831,0.809395905,0.731229142,0.866194633,0.840381764,0.846018,0.794541579,0.772324134
16S2EBS_1797High,0.920107622,0.584121939,0.618773859,0.802949368,0.615258889,0.734482564,0,0.809820061,0.637110298,0.881099615,0.826786395,0.636033164,0.612825543,0.608093792,0.787302619,0.516149424,0.776137298,0.777040098,0.810854203,0.790507582,0.855438271,0.645490424,0.880501058,0.73905073,0.78103411,0.744239813,0.569461241,0.819413373,0.649538182,0.756806182,0.679005243,0.706839348,0.930646388,0.789164002,0.695022887,0.722389454,0.734821253,0.726716529,0.746393038,0.787850248,0.608319738,0.709349717,0.755084885,0.763310162,0.724501411,0.694302348,0.84998384,0.782643932,0.68083249,0.784379745,0.857424717,0.658837608,0.732708484,0.714408979,0.729957818,0.707606472,0.685032956,0.633365133,0.681166575
16S2EBS_1797Low,0.780075767,0.875384423,0.778954135,0.691889422,0.791527863,0.623071003,0.809820061,0,0.854901332,0.853574774,0.858270117,0.764925441,0.762160101,0.792463829,0.797751518,0.865082879,0.84886221,0.803792239,0.657988924,0.815814162,0.825323403,0.795753034,0.729248143,0.761972968,0.920138735,0.621851717,0.810323319,0.822209636,0.869834678,0.792662205,0.907936716,0.910657448,0.962580645,0.85578427,0.881479861,0.84496071,0.946451613,0.903369017,0.855368038,0.799400638,0.828029209,0.880052275,0.846685407,0.962580645,0.895950433,0.871752599,0.85608353,0.871894301,0.891308327,0.781978748,0.802655885,0.890934852,0.718231589,0.77499868,0.913059653,0.901997605,0.814488466,0.833468607,0.823810914
16S2GarnetHigh,0.903690225,0.674158285,0.595597223,0.840795519,0.509335386,0.808415137,0.637110298,0.854901332,0,0.837188552,0.866881879,0.80652857,0.653352112,0.6781692,0.805164559,0.613589113,0.855083165,0.717201072,0.851277082,0.865319121,0.849394858,0.683154808,0.861578418,0.816399939,0.699760832,0.748446275,0.654851586,0.805938811,0.709010354,0.806448465,0.80968722,0.849944183,0.946564885,0.788610885,0.761165959,0.80658478,0.846711604,0.883632824,0.904542519,0.836610376,0.762607759,0.816812666,0.899298261,0.857671849,0.778462096,0.818313038,0.852023273,0.763848303,0.782928409,0.780845203,0.897745084,0.797305139,0.81653602,0.870863951,0.847729736,0.815840423,0.836014762,0.773529115,0.824510652
16S2GarnetLow,0.868552607,0.792501012,0.788871491,0.830559304,0.72787034,0.832836317,0.881099615,0.853574774,0.837188552,0,0.860940695,0.880326253,0.810771237,0.793874608,0.880042819,0.898617609,0.837590513,0.764717398,0.907405366,0.916546763,0.855111977,0.806396949,0.870639064,0.932398819,0.761068166,0.762159901,0.715979154,0.862805956,0.914585038,0.929219911,0.901416643,0.923650682,0.946564885,0.862090023,0.722129793,0.869459414,0.944785276,0.939250221,0.944785276,0.925906365,0.90468464,0.907824988,0.944785276,0.92245277,0.934081912,0.933489453,0.929074287,0.879303923,0.897050203,0.927358793,0.930810811,0.921774218,0.837349642,0.944785276,0.944785276,0.899849875,0.934095805,0.910806379,0.900292594
