Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes:,tuber,tuber2,shoot,root,,,reltub
EBS 1797,EBS 1797,and,2,High,Hancock,3,274,,18.3,18.3,24.41,10.1,30.24793388,,30.24793388
EBS 1797,EBS 1797,and,2,High,Hancock,2,232,,40.21,40.21,30.05,23.52,66.46280992,,66.46280992
EBS 1797,EBS 1797,and,2,High,Hancock,4,335,,46.52,46.52,24,6.69,76.89256198,,76.89256198
EBS 1797,EBS 1797,and,2,High,Hancock,1,43,,,0,34.69,10.33,0,,0
EBS 1797,EBS 1797,and,2,High,Sterile,1,193,,1.21,1.21,26.09,9.14,2,0.605,2
EBS 1797,EBS 1797,and,2,High,Sterile,4,117,,,0,32.36,8.06,0,,0
EBS 1797,EBS 1797,and,2,High,Virgin,4,306,,1.77,1.77,41.16,18.85,2.925619835,,2.925619835
EBS 1797,EBS 1797,and,2,High,Virgin,1,189,,17.48,17.48,39.98,13.95,28.89256198,,28.89256198
EBS 1797,EBS 1797,and,2,High,Virgin,3,269,,123.55,123.55,24.45,19.14,204.214876,,204.214876
EBS 1797,EBS 1797,and,2,High,Virgin,2,92,,,0,34.82,10.39,0,,0
EBS 1797,EBS 1797,and,2,Low,Hancock,1,53,Flowering,12.3,12.3,3.81,1.4,0.393379707,,0.393379707
EBS 1797,EBS 1797,and,2,Low,Hancock,2,361,,31.78,31.78,5.17,2.35,1.016390821,,1.016390821
EBS 1797,EBS 1797,and,2,Low,Hancock,4,391,,35.87,35.87,7.87,2.72,1.147197569,,1.147197569
EBS 1797,EBS 1797,and,2,Low,Hancock,3,206,,42.81,42.81,3.88,3.95,1.369153274,,1.369153274
EBS 1797,EBS 1797,and,2,Low,Sterile,1,44,,11.66,11.66,6.71,6.56,0.37291117,31.2675,0.37291117
EBS 1797,EBS 1797,and,2,Low,Sterile,3,304,,36.78,36.78,5.02,18.26,1.176301271,,1.176301271
EBS 1797,EBS 1797,and,2,Low,Sterile,2,337,,38.3,38.3,5.01,2.89,1.224914048,,1.224914048
EBS 1797,EBS 1797,and,2,Low,Sterile,4,227,Flowering,38.33,38.33,4.07,9.75,1.225873511,,1.225873511
EBS 1797,EBS 1797,and,2,Low,Virgin,3,49,,11.63,11.63,8.16,3.03,0.371951707,,0.371951707
EBS 1797,EBS 1797,and,2,Low,Virgin,1,218,,25.91,25.91,2.56,4.1,0.828655953,,0.828655953
EBS 1797,EBS 1797,and,2,Low,Virgin,4,285,,32.9,32.9,2.4,2.77,1.052210762,,1.052210762
EBS 1797,EBS 1797,and,2,Low,Virgin,2,290,,39.45,39.45,4.45,3.3,1.261693452,,1.261693452
Huagalina,Huagalina,and,2,High,Hancock,1,222,,,0,37.84,12.82,0,,0
Huagalina,Huagalina,and,2,High,Hancock,2,273,,,0,36.07,15.53,0,,0
Huagalina,Huagalina,and,2,High,Hancock,4,307,,,0,41.9,60.26,0,,0
Huagalina,Huagalina,and,2,High,Sterile,3,396,,16.84,16.84,41.11,9.25,3,5.613333333,3
Huagalina,Huagalina,and,2,High,Sterile,1,181,,,0,29.85,17.68,0,,0
Huagalina,Huagalina,and,2,High,Sterile,4,355,,,0,35.21,9.76,0,,0
Huagalina,Huagalina,and,2,High,Virgin,4,268,,4.12,4.12,50.65,18.33,0.733966746,,0.733966746
Huagalina,Huagalina,and,2,High,Virgin,3,398,,36.63,36.63,35.14,5.87,6.525534442,,6.525534442
Huagalina,Huagalina,and,2,High,Virgin,1,19,,,0,34.17,13.11,0,,0
Huagalina,Huagalina,and,2,High,Virgin,2,134,,,0,42.1,9.37,0,,0
Huagalina,Huagalina,and,2,Low,Hancock,1,65,,35.4,35.4,5.25,4.78,1.191250701,,1.191250701
Huagalina,Huagalina,and,2,Low,Hancock,2,109,,41.43,41.43,6.99,5.73,1.394167134,,1.394167134
Huagalina,Huagalina,and,2,Low,Hancock,4,257,,44.87,44.87,7.82,17.79,1.509927089,,1.509927089
Huagalina,Huagalina,and,2,Low,Sterile,4,338,,31.48,31.48,6.53,8.26,1.059338194,29.71666667,1.059338194
Huagalina,Huagalina,and,2,Low,Sterile,1,397,,57.67,57.67,7.81,6.57,1.940661806,,1.940661806
Huagalina,Huagalina,and,2,Low,Sterile,2,174,,,0,5.4,12.68,0,,0
Huagalina,Huagalina,and,2,Low,Virgin,4,135,,0.93,0.93,7.65,11.09,0.031295569,,0.031295569
Huagalina,Huagalina,and,2,Low,Virgin,1,156,,17.11,17.11,5.33,9.56,0.575771172,,0.575771172
