Variety,Clade,Nutrient,Soil,Replicate (1-4),Random ID,Stem_width,Shoot_length,Initial_shoot_Length,initial_Nodes,Tubermass ,Biomass_shoots,Biomass_Roots ,Sterile_avg,Rel_shoot,Rel_tubers
EBS 1797,And,High,Hancock,1,43,8.4,48,11.5,6,,34.69,10.33,,,
Wac 735,And,High,Hancock,3,104,7.02,27,12.5,9,,26.5,19.85,,,
Wac 735,And,High,Hancock,1,121,6.19,42,7,11,,34.44,25.52,,,
WAC 663,And,High,Hancock,1,169,4.59,31,11,13,,42.8,10.97,,,
WAC 663,And,High,Hancock,4,194,5.09,30,14,8,7.26,30.66,11.8,,,
Huagalina,And,High,Hancock,1,222,6.15,45,6.5,4,,37.84,12.82,,,
EBS 1797,And,High,Hancock,2,232,7.01,45,13,9,40.21,30.05,23.52,,,
Huagalina,And,High,Hancock,2,273,5.37,52,10.5,6,,36.07,15.53,,,
EBS 1797,And,High,Hancock,3,274,7.02,48,15,9,18.3,24.41,10.1,,,
Huagalina,And,High,Hancock,4,307,6.99,54,7.5,7,,41.9,60.26,,,
EBS 1797,And,High,Hancock,4,335,5.73,48,16.5,8,46.52,24,6.69,,,
WAC 5,And,High,Hancock,4,342,6.42,38,8,17,1.72,20.6,2.91,,,
WAC 5,And,High,Hancock,3,353,4.56,31,7.5,9,,29.88,4.41,,,
Wac 735,And,High,Hancock,2,362,6.7,38,12,17,46.15,18.23,1.77,,,
Wac 735,And,High,Hancock,4,381,5.84,50,9.5,8,,30.8,8.94,,,
WAC 663,And,High,Hancock,3,400,5.28,40,15,13,,28.24,5.71,,,
Wac 735,And,High,Sterile,1,62,7.26,53,10.5,9,,37.39,13.95,,,
WAC 663,And,High,Sterile,4,83,6.86,45,14,10,,26.91,9.4,,,
EBS 1797,And,High,Sterile,4,117,7.42,43,12,8,,32.36,8.06,,,
Wac 735,And,High,Sterile,4,180,5.99,46,6.5,4,,26.24,22.72,,,
Huagalina,And,High,Sterile,1,181,8.51,56,10,8,,29.85,17.68,,,
EBS 1797,And,High,Sterile,1,193,5.08,30,13,9,1.21,26.09,9.14,,,
WAC 663,And,High,Sterile,2,240,6.72,42,14.5,8,,36.8,14.87,,,
Wac 735,And,High,Sterile,2,265,6.46,37,7.5,8,,21.39,8.28,,,
WAC 5,And,High,Sterile,3,283,7.62,41,9.5,7,,35.86,51.85,,,
WAC 5,And,High,Sterile,4,289,8.13,44,7,6,,34.67,11.56,,,
WAC 5,And,High,Sterile,2,305,,,,,,,18.26,,,
Wac 735,And,High,Sterile,3,334,4.13,47,13,10,23.22,30.01,4.39,,,
Huagalina,And,High,Sterile,4,355,5.82,46,7,8,,35.21,9.76,,,
Huagalina,And,High,Sterile,3,396,7.56,56,7,4,16.84,41.11,9.25,,,
Wac 735,And,High,Virgin,3,7,5.55,48,7,4,10,34.96,7.02,,,
WAC 663,And,High,Virgin,4,13,5.65,40,11,11,,25.12,6.37,,,
