,agerank2,Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes.,tuber,tuber2,tuber3,root,wgt_avg,obs,rel_biomass2
1,1,HAO 76-5,HAO 76,bert,1,High,Sterile,1,129,,NA,0,0,14.06,30.43782609,23,0
2,1,HHA 6451-23,HHA 6451,bert,1,High,Virgin,3,204,,NA,0,0,26.15,30.43782609,23,0
3,1,HAO 76-13,HAO 76,bert,1,High,Hancock,1,17,,0.76,0.76,0.76,7.12,30.43782609,23,0.024968932
4,1,HAO 58-21,HAO 58,bert,1,High,Virgin,1,256,,NA,0,0,32.48,30.43782609,23,0
5,1,HAO 58-24,HAO 58,bert,1,High,Virgin,4,388,,NA,0,0,19.43,30.43782609,23,0
6,1,HAO 58-1,HAO 58,bert,1,Low,Sterile,1,239,,1.96,1.96,1.96,23.05,30.43782609,23,0.064393561
7,1,HAO 76-4,HAO 76,bert,1,Low,Sterile,4,71,,29.06,29.06,29.06,1.82,30.43782609,23,0.954733098
8,1,HHA 6451-21,HHA 6451,bert,1,High,Virgin,1,184,,NA,0,0,26.06,30.43782609,23,0
9,1,HHA 6451-1,HHA 6451,bert,1,Low,Sterile,1,40,,NA,0,119,2.79,30.43782609,23,3.909609039
10,1,HAO 76-3,HAO 76,bert,1,Low,Sterile,3,31,,13.23,13.23,13.23,6.96,30.43782609,23,0.434656534
11,1,HAO 58-9,HAO 58,bert,1,Low,Hancock,1,18,,NA,0,0,9.95,30.43782609,23,0
12,1,HHA 6451-15,HHA 6451,bert,1,High,Hancock,3,376,,NA,0,0,22.62,30.43782609,23,0
13,1,HHA 6451-5,HHA 6451,bert,1,High,Sterile,1,190,,NA,0,0,37.53,30.43782609,23,0
14,1,HAO 58-15,HAO 58,bert,1,High,Hancock,3,375,,1.62,1.62,31.78,7.84,30.43782609,23,1.04409559
15,1,HAO 76-1,HAO 76,bert,1,Low,Sterile,1,322,,68.72,68.72,68.72,3.43,30.43782609,23,2.257717085
16,1,HAO 58-23,HAO 58,bert,1,High,Virgin,3,85,,NA,0,0,24.07,30.43782609,23,0
17,1,HHA 6451-7,HHA 6451,bert,1,High,Sterile,3,220,,NA,0,0,23.1,30.43782609,23,0
18,1,HHA 6451-20,HHA 6451,bert,1,Low,Virgin,4,233,,16.62,16.62,16.62,15.46,30.43782609,23,0.546031111
19,1,HAO 58-22,HAO 58,bert,1,High,Virgin,2,119,,NA,0,0,8.6,30.43782609,23,0
20,1,HHA 6451-18,HHA 6451,bert,1,Low,Virgin,2,202,,6.75,6.75,6.75,17.11,30.43782609,23,0.221763538
21,1,HAO 58-4,HAO 58,bert,1,Low,Sterile,4,8,,NA,0,0,15.06,30.43782609,23,0
22,1,HHA 6451-17,HHA 6451,bert,1,Low,Virgin,1,242,,NA,0,0,9.04,30.43782609,23,0
23,1,HAO 58-20,HAO 58,bert,1,Low,Virgin,4,14,,NA,0,0,7.69,30.43782609,23,0
24,1,HAO 58-18,HAO 58,bert,1,Low,Virgin,2,126,,1.82,1.82,1.82,15.66,30.43782609,23,0.059794021
25,1,HAO 76-17,HAO 76,bert,1,Low,Virgin,1,372,,95.35,95.35,95.35,4.53,30.43782609,23,3.13261531
26,1,HAO 58-5,HAO 58,bert,1,High,Sterile,1,4,,NA,0,0,9.9,30.43782609,23,0
27,1,HAO 58-17,HAO 58,bert,1,Low,Virgin,1,149,,2.48,2.48,2.48,19.09,30.43782609,23,0.081477567
28,1,HAO 76-12,HAO 76,bert,1,Low,Hancock,4,363,,89.5,89.5,89.5,2.17,30.43782609,23,2.940420244
29,1,HHA 6451-6,HHA 6451,bert,1,High,Sterile,2,55,Flowering,NA,0,0,13.27,30.43782609,23,0
30,1,HAO 76-21,HAO 76,bert,1,High,Virgin,1,288,,88.76,88.76,88.76,18.68,30.43782609,23,2.916108389
31,1,HAO 76-22,HAO 76,bert,1,High,Virgin,2,205,,58.77,58.77,58.77,13.04,30.43782609,23,1.930821204
32,1,HHA 6451-9,HHA 6451,bert,1,Low,Hancock,1,27,Flowering,NA,0,0,11.06,30.43782609,23,0
33,1,HAO 76-7,HAO 76,bert,1,High,Sterile,3,207,,66.58,66.58,66.58,12.92,30.43782609,23,2.18740983
34,1,HHA 6451-4,HHA 6451,bert,1,Low,Sterile,4,2,Flowering,NA,0,0,13.06,30.43782609,23,0
35,1,HHA 6451-24,HHA 6451,bert,1,High,Virgin,4,368,,2.01,2.01,2.01,18.66,30.43782609,23,0.066036254
36,1,HAO 76-18,HAO 76,bert,1,Low,Virgin,2,75,,8.2,8.2,8.2,1.33,30.43782609,23,0.269401631
37,1,HAO 76-19,HAO 76,bert,1,Low,Virgin,3,24,,24.12,24.12,24.12,1.91,30.43782609,23,0.792435042
38,1,HAO 76-14,HAO 76,bert,1,High,Hancock,2,341,,87.4,87.4,87.4,15.32,30.43782609,23,2.871427143
39,1,HHA 6451-8,HHA 6451,bert,1,High,Sterile,4,139,Flowering,1.55,1.55,1.55,14.04,30.43782609,23,0.050923479
40,1,HAO 76-6,HAO 76,bert,1,High,Sterile,2,408,,105.27,105.27,105.27,6.7,30.43782609,23,3.458525576
41,1,HAO 58-8,HAO 58,bert,1,High,Sterile,4,392,,NA,0,0,24.96,30.43782609,23,0
42,1,HAO 76-9,HAO 76,bert,1,Low,Hancock,1,385,,69.6,69.6,69.6,3.41,30.43782609,23,2.28662848
43,1,HAO 58-6,HAO 58,bert,1,High,Sterile,2,320,,54.8,54.8,54.8,20.22,30.43782609,23,1.800391389
44,1,HHA 6451-2,HHA 6451,bert,1,Low,Sterile,2,351,,NA,0,25.13,7.49,30.43782609,23,0.825617438
45,1,HAO 76-8,HAO 76,bert,1,High,Sterile,4,192,,71.99,71.99,71.99,12.43,30.43782609,23,2.365149199
46,1,HAO 58-10,HAO 58,bert,1,Low,Hancock,2,284,,NA,0,0,25.48,30.43782609,23,0
47,1,HHA 6451-10,HHA 6451,bert,1,Low,Hancock,2,22,Flowering,NA,0,0,15.87,30.43782609,23,0
48,1,HHA 6451-19,HHA 6451,bert,1,Low,Virgin,3,286,,23.03,23.03,23.03,5.21,30.43782609,23,0.756624338
49,1,HAO 58-2,HAO 58,bert,1,Low,Sterile,2,72,,NA,0,0,11.48,30.43782609,23,0
50,1,HAO 76-2,HAO 76,bert,1,Low,Sterile,2,383,,86.89,86.89,86.89,5,30.43782609,23,2.854671676
51,1,HAO 58-19,HAO 58,bert,1,Low,Virgin,3,97,,NA,0,0,11.65,30.43782609,23,0
52,1,HHA 6451-3,HHA 6451,bert,1,Low,Sterile,3,280,,40.54,40.54,40.54,11.38,30.43782609,23,1.331895382
53,1,HAO 58-3,HAO 58,bert,1,Low,Sterile,3,164,,15.35,15.35,15.35,15.5,30.43782609,23,0.504306712
54,1,HAO 76-11,HAO 76,bert,1,Low,Hancock,3,45,,20.33,20.33,20.33,0.52,30.43782609,23,0.667918922
55,2,EBS 1797,EBS 1797,and,2,High,Hancock,1,43,,NA,0,0,10.33,15.10774194,31,0
