Variety,variety2,Clade,agerank,agerank2,Nutrient,soil,rep,id,Notes:,tuber,tuber2,tuber3,root
EBS 1797,EBS 1797,and,2,2,High,Hancock,1,43,,,0,0,10.33
EBS 1797,EBS 1797,and,2,2,High,Sterile,4,117,,,0,0,8.06
EBS 1797,EBS 1797,and,2,2,High,Virgin,2,92,,,0,0,10.39
Huagalina,Huagalina,and,2,2,High,Hancock,1,222,,,0,0,12.82
Huagalina,Huagalina,and,2,2,High,Hancock,2,273,,,0,0,15.53
Huagalina,Huagalina,and,2,2,High,Hancock,4,307,,,0,0,60.26
Huagalina,Huagalina,and,2,2,High,Sterile,1,181,,,0,0,17.68
Huagalina,Huagalina,and,2,2,High,Sterile,4,355,,,0,0,9.76
Huagalina,Huagalina,and,2,2,High,Virgin,1,19,,,0,0,13.11
Huagalina,Huagalina,and,2,2,High,Virgin,2,134,,,0,0,9.37
Huagalina,Huagalina,and,2,2,Low,Sterile,2,174,,,0,0,12.68
Huagalina,Huagalina,and,2,2,Low,Virgin,2,77,,,0,0,6.5
WAC 5,WAC 5,and,2,2,High,Hancock,3,353,,,0,0,4.41
WAC 5,WAC 5,and,2,2,High,Sterile,3,283,,,0,0,51.85
WAC 5,WAC 5,and,2,2,High,Sterile,4,289,,,0,0,11.56
WAC 5,WAC 5,and,2,2,High,Sterile,2,305,,,0,0,18.26
WAC 5,WAC 5,and,2,2,High,Virgin,3,64,,,0,0,9.4
WAC 5,WAC 5,and,2,2,High,Virgin,1,78,,,0,0,8.61
WAC 663,WAC 663,and,2,2,High,Hancock,1,169,,,0,0,10.97
WAC 663,WAC 663,and,2,2,High,Hancock,3,400,,,0,0,5.71
WAC 663,WAC 663,and,2,2,High,Sterile,4,83,,,0,0,9.4
WAC 663,WAC 663,and,2,2,High,Sterile,2,240,,,0,0,14.87
WAC 663,WAC 663,and,2,2,High,Virgin,4,13,,,0,0,6.37
WAC 663,WAC 663,and,2,2,High,Virgin,1,93,,,0,0,5.22
Wac 735,Wac 735,and,2,2,High,Hancock,3,104,,,0,0,19.85
Wac 735,Wac 735,and,2,2,High,Hancock,1,121,,,0,0,25.52
Wac 735,Wac 735,and,2,2,High,Hancock,4,381,,,0,0,8.94
Wac 735,Wac 735,and,2,2,High,Sterile,1,62,,,0,0,13.95
Wac 735,Wac 735,and,2,2,High,Sterile,4,180,,,0,0,22.72
Wac 735,Wac 735,and,2,2,High,Sterile,2,265,,,0,0,8.28
Wac 735,Wac 735,and,2,2,High,Virgin,1,155,,,0,0,15.56
Wac 735,Wac 735,and,2,2,High,Virgin,2,171,,,0,0,13.25
HAO 58-5,HAO 58,bert,1,1,High,Sterile,1,4,,,0,0,9.9
HAO 58-8,HAO 58,bert,1,1,High,Sterile,4,392,,,0,0,24.96
HAO 58-21,HAO 58,bert,1,1,High,Virgin,1,256,,,0,0,32.48
HAO 58-22,HAO 58,bert,1,1,High,Virgin,2,119,,,0,0,8.6
HAO 58-23,HAO 58,bert,1,1,High,Virgin,3,85,,,0,0,24.07
HAO 58-24,HAO 58,bert,1,1,High,Virgin,4,388,,,0,0,19.43
HAO 58-10,HAO 58,bert,1,1,Low,Hancock,2,284,,,0,0,25.48
HAO 58-9,HAO 58,bert,1,1,Low,Hancock,1,18,,,0,0,9.95
HAO 58-2,HAO 58,bert,1,1,Low,Sterile,2,72,,,0,0,11.48
HAO 58-4,HAO 58,bert,1,1,Low,Sterile,4,8,,,0,0,15.06
HAO 58-19,HAO 58,bert,1,1,Low,Virgin,3,97,,,0,0,11.65
HAO 58-20,HAO 58,bert,1,1,Low,Virgin,4,14,,,0,0,7.69
HAO 76-5,HAO 76,bert,1,1,High,Sterile,1,129,,,0,0,14.06
HHA 6451-15,HHA 6451,bert,1,1,High,Hancock,3,376,,,0,0,22.62
HHA 6451-5,HHA 6451,bert,1,1,High,Sterile,1,190,,,0,0,37.53
HHA 6451-6,HHA 6451,bert,1,1,High,Sterile,2,55,Flowering,,0,0,13.27
HHA 6451-7,HHA 6451,bert,1,1,High,Sterile,3,220,,,0,0,23.1
HHA 6451-21,HHA 6451,bert,1,1,High,Virgin,1,184,,,0,0,26.06
HHA 6451-23,HHA 6451,bert,1,1,High,Virgin,3,204,,,0,0,26.15
HHA 6451-10,HHA 6451,bert,1,1,Low,Hancock,2,22,Flowering,,0,0,15.87
HHA 6451-9,HHA 6451,bert,1,1,Low,Hancock,1,27,Flowering,,0,0,11.06
HHA 6451-4,HHA 6451,bert,1,1,Low,Sterile,4,2,Flowering,,0,0,13.06
HHA 6451-17,HHA 6451,bert,1,1,Low,Virgin,1,242,,,0,0,9.04
Cor C. 135-11,Cor C 135,chil,3,3,Low,Hancock,3,23,,,0,0,2.05
Cor C.56-13,Cor C56,chil,3,3,High,Hancock,1,11,,,0,0,2.91
Cor C.95-13,Cor C95,chil,3,3,High,Hancock,1,244,,,0,0,16.63
Cor C.95-14,Cor C95,chil,3,3,High,Hancock,2,266,,,0,0,44.26
Cor C.95-16,Cor C95,chil,3,3,High,Hancock,4,150,,,0,0,28.04
Cor C.95-5,Cor C95,chil,3,3,High,Sterile,1,59,,,0,0,33.02
Cor C.95-6,Cor C95,chil,3,3,High,Sterile,2,271,,,0,0,20.01
Cor C.95-7,Cor C95,chil,3,3,High,Sterile,3,333,,,0,0,13.96
Cor C.95-8,Cor C95,chil,3,3,High,Sterile,4,251,,,0,0,58.72
Cor C.95-21,Cor C95,chil,3,3,High,Virgin,1,177,,,0,0,22.78
Cor C.95-22,Cor C95,chil,3,3,High,Virgin,2,160,Flowering,,0,0,26.14
Cor C.95-23,Cor C95,chil,3,3,High,Virgin,3,60,,,0,0,20.92
Cor C.95-24,Cor C95,chil,3,3,High,Virgin,4,329,,,0,0,9.99
Cor C.95-12,Cor C95,chil,3,3,Low,Hancock,4,41,,,0,0,2.42
Garnet-5,Garnet,chil,4,4,High,Sterile,1,348,,,0,0,6.27
Garnet-8,Garnet,chil,4,4,High,Sterile,4,223,,,0,0,10.62
P. Cacho-6,P. Cacho,chil,3,3,High,Sterile,2,26,,,0,0,9.96
Burbank,Burbank,elite,5,5,Low,Virgin,2,380,,,0,0,1.27
Norkodah,Norkodah,elite,6,5,High,Virgin,3,209,,,0,0,3.16
Snowden,Snowden,elite,6,5,High,Virgin,3,387,,,0,0,9.52
Wac 735,Wac 735,and,2,2,High,Virgin,4,276,,0.22,0.22,0.22,6.46
HAO 76-13,HAO 76,bert,1,1,High,Hancock,1,17,,0.76,0.76,0.76,7.12
Huagalina,Huagalina,and,2,2,Low,Virgin,4,135,,0.93,0.93,0.93,11.09
EBS 1797,EBS 1797,and,2,2,High,Sterile,1,193,,1.21,1.21,1.21,9.14
HHA 6451-8,HHA 6451,bert,1,1,High,Sterile,4,139,Flowering,1.55,1.55,1.55,14.04
WAC 663,WAC 663,and,2,2,Low,Sterile,3,374,,,0,1.62,0.67
WAC 5,WAC 5,and,2,2,High,Hancock,4,342,,1.72,1.72,1.72,2.91
EBS 1797,EBS 1797,and,2,2,High,Virgin,4,306,,1.77,1.77,1.77,18.85
HAO 58-18,HAO 58,bert,1,1,Low,Virgin,2,126,,1.82,1.82,1.82,15.66
HAO 58-1,HAO 58,bert,1,1,Low,Sterile,1,239,,1.96,1.96,1.96,23.05
HHA 6451-24,HHA 6451,bert,1,1,High,Virgin,4,368,,2.01,2.01,2.01,18.66
HAO 58-17,HAO 58,bert,1,1,Low,Virgin,1,149,,2.48,2.48,2.48,19.09
Wac 735,Wac 735,and,2,2,Low,Virgin,1,3,,2.71,2.71,2.71,0.48
WAC 5,WAC 5,and,2,2,High,Virgin,4,293,,3.26,3.26,3.26,6
Huagalina,Huagalina,and,2,2,High,Virgin,4,268,,4.12,4.12,4.12,18.33
Cor C.56-24,Cor C56,chil,3,3,High,Virgin,4,68,,4.19,4.19,4.19,4.59
Wac 735,Wac 735,and,2,2,Low,Hancock,4,25,,6.61,6.61,6.61,2.88
HHA 6451-18,HHA 6451,bert,1,1,Low,Virgin,2,202,,6.75,6.75,6.75,17.11
