#OTU ID,taxonomy,Gh_expt2017_A10,Gh_expt2017_A100,Gh_expt2017_A101,Gh_expt2017_A102,Gh_expt2017_A103,Gh_expt2017_A104,Gh_expt2017_A105,Gh_expt2017_A106,Gh_expt2017_A107,Gh_expt2017_A108,Gh_expt2017_A109,Gh_expt2017_A11,Gh_expt2017_A110,Gh_expt2017_A111,Gh_expt2017_A112,Gh_expt2017_A113,Gh_expt2017_A114,Gh_expt2017_A115,Gh_expt2017_A116,Gh_expt2017_A117,Gh_expt2017_A118,Gh_expt2017_A119,Gh_expt2017_A120,Gh_expt2017_A121,Gh_expt2017_A122,Gh_expt2017_A123,Gh_expt2017_A124,Gh_expt2017_A125,Gh_expt2017_A126,Gh_expt2017_A127,Gh_expt2017_A128,Gh_expt2017_A129,Gh_expt2017_A13,Gh_expt2017_A130,Gh_expt2017_A131,Gh_expt2017_A132,Gh_expt2017_A133,Gh_expt2017_A134,Gh_expt2017_A135,Gh_expt2017_A136,Gh_expt2017_A137,Gh_expt2017_A138,Gh_expt2017_A139,Gh_expt2017_A14,Gh_expt2017_A140,Gh_expt2017_A141,Gh_expt2017_A142,Gh_expt2017_A143,Gh_expt2017_A144,Gh_expt2017_A145,Gh_expt2017_A146,Gh_expt2017_A147,Gh_expt2017_A148,Gh_expt2017_A149,Gh_expt2017_A15,Gh_expt2017_A150,Gh_expt2017_A151,Gh_expt2017_A152,Gh_expt2017_A153,Gh_expt2017_A154,Gh_expt2017_A155,Gh_expt2017_A156,Gh_expt2017_A157,Gh_expt2017_A158,Gh_expt2017_A159,Gh_expt2017_A16,Gh_expt2017_A160,Gh_expt2017_A161,Gh_expt2017_A162,Gh_expt2017_A163,Gh_expt2017_A164,Gh_expt2017_A165,Gh_expt2017_A166,Gh_expt2017_A167,Gh_expt2017_A168,Gh_expt2017_A169,Gh_expt2017_A17,Gh_expt2017_A170,Gh_expt2017_A171,Gh_expt2017_A172,Gh_expt2017_A173,Gh_expt2017_A174,Gh_expt2017_A175,Gh_expt2017_A176,Gh_expt2017_A177,Gh_expt2017_A178,Gh_expt2017_A179,Gh_expt2017_A18,Gh_expt2017_A180,Gh_expt2017_A181,Gh_expt2017_A182,Gh_expt2017_A183,Gh_expt2017_A184,Gh_expt2017_A185,Gh_expt2017_A186,Gh_expt2017_A187,Gh_expt2017_A188,Gh_expt2017_A189,Gh_expt2017_A19,Gh_expt2017_A190,Gh_expt2017_A191,Gh_expt2017_A192,Gh_expt2017_A193,Gh_expt2017_A194,Gh_expt2017_A195,Gh_expt2017_A196,Gh_expt2017_A197,Gh_expt2017_A198,Gh_expt2017_A199,Gh_expt2017_A2,Gh_expt2017_A20,Gh_expt2017_A200,Gh_expt2017_A201,Gh_expt2017_A202,Gh_expt2017_A203,Gh_expt2017_A204,Gh_expt2017_A209,Gh_expt2017_A21,Gh_expt2017_A212,Gh_expt2017_A217,Gh_expt2017_A218,Gh_expt2017_A219,Gh_expt2017_A22,Gh_expt2017_A220,Gh_expt2017_A221,Gh_expt2017_A222,Gh_expt2017_A223,Gh_expt2017_A224,Gh_expt2017_A225,Gh_expt2017_A226,Gh_expt2017_A23,Gh_expt2017_A230,Gh_expt2017_A232,Gh_expt2017_A237,Gh_expt2017_A241,Gh_expt2017_A242,Gh_expt2017_A243,Gh_expt2017_A244,Gh_expt2017_A245,Gh_expt2017_A246,Gh_expt2017_A247,Gh_expt2017_A248,Gh_expt2017_A249,Gh_expt2017_A25,Gh_expt2017_A250,Gh_expt2017_A251,Gh_expt2017_A252,Gh_expt2017_A253,Gh_expt2017_A255,Gh_expt2017_A256,Gh_expt2017_A258,Gh_expt2017_A259,Gh_expt2017_A26,Gh_expt2017_A263,Gh_expt2017_A265,Gh_expt2017_A266,Gh_expt2017_A267,Gh_expt2017_A268,Gh_expt2017_A269,Gh_expt2017_A27,Gh_expt2017_A270,Gh_expt2017_A271,Gh_expt2017_A272,Gh_expt2017_A273,Gh_expt2017_A274,Gh_expt2017_A275,Gh_expt2017_A276,Gh_expt2017_A278,Gh_expt2017_A279,Gh_expt2017_A28,Gh_expt2017_A280,Gh_expt2017_A282,Gh_expt2017_A283,Gh_expt2017_A284,Gh_expt2017_A285,Gh_expt2017_A286,Gh_expt2017_A287,Gh_expt2017_A289,Gh_expt2017_A29,Gh_expt2017_A290,Gh_expt2017_A291,Gh_expt2017_A292,Gh_expt2017_A293,Gh_expt2017_A294,Gh_expt2017_A296,Gh_expt2017_A297,Gh_expt2017_A298,Gh_expt2017_A299,Gh_expt2017_A3,Gh_expt2017_A30,Gh_expt2017_A300,Gh_expt2017_A302,Gh_expt2017_A303,Gh_expt2017_A304,Gh_expt2017_A305,Gh_expt2017_A306,Gh_expt2017_A307,Gh_expt2017_A308,Gh_expt2017_A31,Gh_expt2017_A310,Gh_expt2017_A311,Gh_expt2017_A312,Gh_expt2017_A313,Gh_expt2017_A314,Gh_expt2017_A315,Gh_expt2017_A316,Gh_expt2017_A317,Gh_expt2017_A318,Gh_expt2017_A319,Gh_expt2017_A32,Gh_expt2017_A320,Gh_expt2017_A321,Gh_expt2017_A322,Gh_expt2017_A323,Gh_expt2017_A324,Gh_expt2017_A325,Gh_expt2017_A326,Gh_expt2017_A327,Gh_expt2017_A328,Gh_expt2017_A329,Gh_expt2017_A33,Gh_expt2017_A330,Gh_expt2017_A333,Gh_expt2017_A334,Gh_expt2017_A335,Gh_expt2017_A336,Gh_expt2017_A337,Gh_expt2017_A338,Gh_expt2017_A339,Gh_expt2017_A34,Gh_expt2017_A340,Gh_expt2017_A341,Gh_expt2017_A342,Gh_expt2017_A343,Gh_expt2017_A344,Gh_expt2017_A345,Gh_expt2017_A346,Gh_expt2017_A347,Gh_expt2017_A349,Gh_expt2017_A35,Gh_expt2017_A350,Gh_expt2017_A351,Gh_expt2017_A352,Gh_expt2017_A353,Gh_expt2017_A356,Gh_expt2017_A357,Gh_expt2017_A358,Gh_expt2017_A36,Gh_expt2017_A360,Gh_expt2017_A361,Gh_expt2017_A362,Gh_expt2017_A363,Gh_expt2017_A364
347a26ca7c6eda2ce80f3266a1acf582,k__Plantae,0,57,0,0,0,0,308,0,0,210,326,0,323,60,56,257,116,319,0,53,427,289,55,587,0,302,0,0,1148,98,608,245,30,377,211,0,89,41,135,339,386,46,0,42,500,36,0,477,489,80,354,487,237,465,0,184,398,0,377,482,232,146,417,374,107,0,22,278,112,187,179,422,15,404,193,0,20,148,331,323,337,545,367,216,152,480,407,0,0,93,311,77,214,128,109,167,249,296,56,353,14,0,64,94,16,91,100,99,40,0,0,53,15,0,0,0,0,264,0,30,0,44,146,82,0,51,38,101,39,0,33,0,0,0,68,37,0,0,303,63,76,0,0,132,0,0,29,0,0,0,0,0,154,0,27,112,118,122,138,231,58,45,113,0,219,0,22,0,0,45,0,0,0,0,0,0,0,0,272,0,102,272,138,0,108,165,90,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,163,45,72,0,0,0,125,41,58,0,51,44,0,0,0,0,0,120,0,0,0,0,0,47,100,94,350,223,89,12,286,210,318,267,84,0,261,0,0,0,0,0,0,0,0,0,138,0,178,0
73d0d6442e24f09e491f144b0de0465e,k__Bacteria p__Bacteroidetes ,0,154,0,22,0,0,0,0,0,0,32,0,49,24,26,0,28,0,0,321,0,41,0,39,0,89,0,0,52,0,67,21,14,25,42,0,38,70,74,0,28,26,287,0,0,33,0,94,0,0,0,31,12,16,0,11,0,0,0,97,89,15,26,52,315,0,0,72,67,167,0,74,34,56,28,0,24,0,71,59,34,65,218,13,25,43,42,0,0,32,135,80,0,0,71,298,54,63,0,36,0,0,74,94,0,80,74,44,0,0,0,0,274,0,0,0,0,0,0,0,53,22,0,62,0,61,41,38,95,0,0,0,0,0,169,0,0,0,94,0,0,51,73,0,39,30,100,0,0,0,0,0,0,0,0,46,0,199,51,0,0,0,0,0,46,256,0,0,0,161,0,0,0,0,0,0,0,0,7,0,0,0,57,0,0,0,53,0,0,59,15,0,0,0,0,0,0,0,0,0,0,0,159,97,0,71,0,223,69,14,0,0,50,37,0,0,0,0,0,0,19,0,0,0,0,0,98,0,0,44,50,100,34,0,36,28,40,0,0,37,0,0,0,0,0,0,0,0,0,46,10,51,110
ea7e0589c9a8e18ae7381033cdba147a,k__Bacteria p__Proteobacteria c__Alphaproteobacteria o__Rickettsiales f__mitochondria,0,0,0,0,0,0,18,0,0,0,24,0,45,19,18,0,0,68,0,0,26,49,0,16,0,0,0,0,203,0,50,29,0,28,0,0,24,13,40,72,69,14,18,16,33,0,0,66,178,0,0,18,0,53,0,0,25,0,0,44,0,0,84,22,28,0,0,44,0,63,46,66,0,40,49,0,0,7,0,19,0,66,28,0,0,22,28,0,0,0,66,33,83,37,0,98,79,131,0,147,0,0,0,0,0,34,0,25,0,0,0,25,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,16,0,0,0,26,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,42,11,0,0,26,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,124,48,0,0,28,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,24,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,35,15,0,0,49,44,146,0,52,0,0,0,0,0,0,0,0,0,0,0,67,0,92,0
46f3bb2507990c721230339520444f3c,k__Bacteria p__Bacteroidetes ,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,324,60,0,0,0,0,31,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,30,0,0,0,48,0,0,82,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,58,28,0,0,67,0,0,0,30,0,0,32,0,0,29,0,0,13,0,0,28,0,0,0,0,0,0,0,0,0,0,0,23,52,0,0,0,59,0,0,0,0,0,44,110,38,0,39,34,20,21,39,0,52,52,33,0,0,0,0,0,23,0,41,36,24,35,113,0,68,12,18,0,33,39,102,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,16,26,65,0,90,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,52,0,26,48,58,65,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,0,0,29,29,15,0,0,33,87,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
453ce78e5945d20fe389dd4afc2b592e,k__Bacteria p__Actinobacteria c__Actinobacteria o__Actinomycetales f__Micrococcaceae g__Arthrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,51,68,0,0,0,0,0,0,59,0,40,0,19,0,52,0,0,0,0,0,21,0,0,60,0,38,0,42,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,36,0,24,0,0,38,34,90,0,0,0,0,22,66,60,89,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,29,113,0,0,0,0,0,0,0,94,0,0,0,39,0,126,0,233,156,0,0,63,0,0,0,0,0,56,0,0,0,148,0,51,37,30,0,436,50,0,0,0,0,0,106,18,0,0,45,38,181,0,33,0,0,0,178,0,0,0,0,0,0,0,90,84,96,134,93,57,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,56,40,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,32,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,56,30,208,41,0,0,64,0,35,82,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6c02ab5dac7ccbdfdec4749c47eab288,k__Bacteria p__Proteobacteria,0,0,0,0,0,0,0,0,0,0,25,0,0,0,26,0,21,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,11,0,0,0,0,36,0,0,0,0,0,40,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,16,0,10,0,110,0,0,33,0,0,25,0,0,43,0,0,63,0,0,35,0,0,0,0,0,0,0,0,54,0,0,26,0,0,0,0,59,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,40,187,0,0,0,0,0,0,0,0,0,0,24,0,44,0,96,0,57,0,0,48,29,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,112,112,0,0,30,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,33,0,30,0,0,125,0,0,0,0,19,0,0,0,0,0,0,52,0,0,0,0,0,21,44,47,0,67,0,42,0,12,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7dd0e452fc0aca8df9f88c1c4a2c6178,k__Bacteria p__Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,28,0,0,117,0,0,57,0,0,41,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,82,0,0,13,55,0,0,74,0,13,25,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,161,96,0,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,109,7,0,0,0,0,0,0,119,21,0,0,0,0,0,0,0,0,0,0,0,0,295,22,0,71,0,0,26,137,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
651fdf541b33e119607d62530d7b51e2,k__Bacteria p__Bacteroidetes ,0,0,0,0,0,0,0,0,0,0,38,0,29,47,0,0,39,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,26,15,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40,0,23,19,38,44,0,77,0,37,0,0,32,0,0,44,0,0,41,0,0,24,0,0,0,0,0,0,0,0,50,0,0,24,37,0,63,0,0,0,0,0,0,0,0,23,0,0,30,32,0,37,30,0,40,58,28,0,0,0,0,0,0,0,0,0,0,45,58,0,216,12,23,0,37,24,0,0,0,21,0,0,0,0,0,0,0,0,0,0,25,16,22,91,28,45,37,0,0,25,34,0,0,0,0,0,0,0,0,0,0,0,0,37,0,49,0,0,44,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,67,71,0,49,0,0,0,0,0,17,27,0,0,0,0,0,0,0,0,0,0,0,22,0,0,19
2d417f24e2b1f8bf5f6d6bcae00908e9,k__Bacteria p__Proteobacteria c__Alphaproteobacteria o__Rhizobiales,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,60,0,0,0,0,0,93,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,83,0,0,0,0,0,0,207,61,0,66,0,0,0,84,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,322,0,123,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,28,0,31,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51532408470ec090e37521233a8aef77,k__Bacteria p__Bacteroidetes  c__Flavobacteriia o__Flavobacteriales f__Flavobacteriaceae g__Flavobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,60,357,0,0,0,0,24,0,0,0,0,0,0,0,0,68,0,0,392,696,0,0,0,54,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,12
