,code,timepoint,sample_ID,Variety,Nutrient,Soil_type,Species,Replicate,Stem_width,Shoot_length,Initial_shoot_Length,initial_Nodes,Tubermass,Tubermass2,Tuber_abs,Biomass_shoots,Biomass_Roots,Relsht_avg,Rel_tuber,Rel_root,RST_ratio,barcode_ID
20,Burbank_16S_91,16S,91,Burbank,Low,Hancock,E,4,6.99,30,6,8,84.11,84.11,1,2.6,0.86,0.976525822,1.363485309,1.23297491,100.8255814,Gh_expt2017_A117
36,Burbank_16S_113,16S,113,Burbank,High,Hancock,E,4,9.07,42,11.5,8,113.55,113.55,1,34.62,5.85,13.0028169,1.840729483,8.387096774,25.32820513,Gh_expt2017_A157
37,Burbank_16S_114,16S,114,Burbank,High,Virgin,E,4,9.82,40,9.5,10,161.11,161.11,1,29.56,4.78,11.10234742,2.611712259,6.853046595,39.88912134,Gh_expt2017_A158
48,Burbank_16S_131,16S,131,Burbank,High,Hancock,E,1,9.17,43,7,6,124.32,124.32,1,22.47,7.37,8.43943662,2.015319149,10.56630824,19.91723202,Gh_expt2017_A181
49,Burbank_16S_132,16S,132,Burbank,High,Virgin,E,1,7.96,34,8,9,142.23,142.23,1,22.81,11.09,8.56713615,2.305653495,15.89964158,14.88187556,Gh_expt2017_A182
55,Burbank_16S_140,16S,140,Burbank,Low,Virgin,E,1,3.59,52,7.5,9,60.94,60.94,1,2.93,1.6,1.100469484,0.987882472,2.29390681,39.91875,Gh_expt2017_A188
76,Burbank_16S_219,16S,219,Burbank,Low,Hancock,E,1,5.16,28,8,6,103.03,103.03,1,2.1,0.81,0.788732394,1.670192503,1.161290323,129.7901235,Gh_expt2017_A100
81,Burbank_16S_343,16S,343,Burbank,High,Virgin,E,2,8.1,38,9,8,156.24,156.24,1,16.51,7.6,6.200938967,2.532765957,10.89605735,22.73026316,Gh_expt2017_A105
213,Burbank_16S2_219,16S2,219,Burbank,Low,Hancock,E,1,5.16,28,8,6,103.03,103.03,1,2.1,0.81,0.788732394,1.670192503,1.161290323,129.7901235,Gh_expt2017_A290
227,Burbank_16S2_246,16S2,246,Burbank,Low,Virgin,E,3,7.68,23,8.5,8,94.82,94.82,1,2.51,1.44,0.942723005,1.53710233,2.064516129,67.59027778,Gh_expt2017_A317
240,Burbank_16S2_272,16S2,272,Burbank,Low,Virgin,E,4,5.53,28,10.5,8,80.51,80.51,1,2.75,0.76,1.03286385,1.305126646,1.089605735,109.5526316,Gh_expt2017_A342
14,Cor C. 135-15_16S_80,16S,80,Cor_C_135,High,Hancock,C,3,4.64,24,11,11,13.22,13.22,1,15.64,2.95,6.117339489,0.493344882,3.030822956,9.783050847,Gh_expt2017_A111
46,Cor C. 135-12_16S_128,16S,128,Cor_C_135,Low,Hancock,C,4,4.48,39,10,9,15.77,15.77,1,3.71,0.35,1.451108025,0.58850596,0.359589164,55.65714286,Gh_expt2017_A167
98,Cor C. 135-20_16S_371,16S,371,Cor_C_135,Low,Virgin,C,4,3.31,29,11,12,36.38,36.38,1,4.4,0.58,1.720990649,1.357631377,0.595890615,70.31034483,Gh_expt2017_A147
109,Cor C. 135-24_16S_386,16S,386,Cor_C_135,High,Virgin,C,4,6.03,40,10,17,90.56,90.56,1,14.84,2.79,5.804432099,3.379524396,2.866439338,37.77777778,Gh_expt2017_A170
118,Cor C. 135-22_16S_402,16S,402,Cor_C_135,High,Virgin,C,2,4.68,38,11,7,0,101.84,0,14.75,0.73,5.769230017,0,0.750000257,20.20547945,Gh_expt2017_A179
202,Cor C. 135_16S2_203,16S2,203,Cor_C_135,High,Virgin,C,1,4.35,37,11,8,53.95,53.95,1,23.63,5.41,9.242502054,2.013309863,5.558221082,14.34011091,Gh_expt2017_A267
15,Cor C.56-18_16S_81,16S,81,Cor_C_56,Low,Virgin,C,2,4.91,28,9.5,6,30.2,30.2,1,3.19,1.92,0.446361732,0.366445574,0.188073764,17.390625,Gh_expt2017_A112
47,Cor C.56-17_16S_130,16S,130,Cor_C_56,Low,Virgin,C,1,6.55,37,7,7,47.77,47.77,1,5.63,2.75,0.787779483,0.57963924,0.331929558,19.41818182,Gh_expt2017_A168
58,Cor C.56-16_16S_143,16S,143,Cor_C_56,High,Hancock,C,4,9.43,42,9.5,6,82.8,82.8,1,53.2,11.04,7.444026379,1.004691838,3.136527973,12.31884058,Gh_expt2017_A191
189,Cor C.56_16S2_187,16S2,187,Cor_C_56,Low,Virgin,C,4,6.56,29,8,6,84.02,84.02,1,5.55,3.81,0.776585459,1.019495269,0.327212975,23.50918635,Gh_expt2017_A242
193,Cor C.56_16S2_191,16S2,191,Cor_C_56,Low,Hancock,C,2,7.77,34,11,9,59.84,59.84,1,4,1.53,0.559701231,0.72609613,0.235829171,41.7254902,Gh_expt2017_A246
216,Cor C.56_16S2_224,16S2,224,Cor_C_56,High,Hancock,C,3,8.49,34,10.5,8,51.25,51.25,1,36.87,20.56,5.159046101,0.621865419,2.173755383,4.285992218,Gh_expt2017_A293
217,Cor C.56_16S2_225,16S2,225,Cor_C_56,Low,Hancock,C,3,7.66,26,8.5,5,81.3,81.3,1,4.41,2.73,0.617070608,0.986490899,0.260001661,31.3956044,Gh_expt2017_A294
245,Cor C.56_16S2_278,16S2,278,Cor_C_56,High,Virgin,C,3,8.16,30,7,6,76.96,76.96,1,27.04,5.94,3.783580325,0.933829515,1.594205195,17.50841751,Gh_expt2017_A347
44,Cor C.95-19_16S_124,16S,124,Cor_C_95,Low,Virgin,C,3,5.47,42,10.5,7,59.62,59.62,1,5.07,2.35,0.961593172,1.04308271,0.617202889,27.52765957,Gh_expt2017_A165
71,Cor C.95-10_16S_175,16S,175,Cor_C_95,Low,Hancock,C,2,6.23,45,12,6,96.12,96.12,1,6.79,2.11,1.28781413,1.681669072,0.554169402,48.77251185,Gh_expt2017_A32
73,Cor C.95-21_16S_177,16S,177,Cor_C_95,High,Virgin,C,1,8.92,51,10,6,0,0,0,47.66,22.78,9.039355145,0,5.982928431,2.092186128,Gh_expt2017_A34
84,Cor C.95-18_16S_346,16S,346,Cor_C_95,Low,Virgin,C,2,6.35,43,9,7,49.96,49.96,1,7.82,4.2,1.483167378,0.874076018,1.103086014,13.75714286,Gh_expt2017_A108
172,Cor C.95_16S2_160,16S2,160,Cor_C_95,High,Virgin,C,2,4.43,55,8,6,0,0,0,44.49,26.14,8.438122333,0,6.865397242,1.701989288,Gh_expt2017_A199
183,Cor C.95_16S2_175,16S2,175,Cor_C_95,Low,Hancock,C,2,6.23,45,12,6,96.12,96.12,1,6.79,2.11,1.28781413,1.681669072,0.554169402,48.77251185,Gh_expt2017_A222
185,Cor C.95_16S2_177,16S2,177,Cor_C_95,High,Virgin,C,1,8.92,51,10,6,0,0,0,47.66,22.78,9.039355145,0,5.982928431,2.092186128,Gh_expt2017_A224
190,Cor C.95_16S2_188,16S2,188,Cor_C_95,Low,Virgin,C,4,7.12,38,11,5,116.25,116.25,1,5.98,6.63,1.134186818,2.033853825,1.741300066,18.43589744,Gh_expt2017_A243
