Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tuber,tuber2,tuber3,root,dry_tuber
HAO 58-1,HAO 58,bert,1,1,4,Low,Sterile,1,239,3,,1.96,1.96,1.96,23.05,0.58038955
HAO 58-10,HAO 58,bert,1,1,4,Low,Hancock,2,284,4,,,0,0,25.48,0
HAO 58-15,HAO 58,bert,1,1,4,High,Hancock,3,375,5,,1.62,1.62,31.78,7.84,9.410601995
HAO 58-17,HAO 58,bert,1,1,4,Low,Virgin,1,149,2,,2.48,2.48,2.48,19.09,0.734370451
HAO 58-18,HAO 58,bert,1,1,4,Low,Virgin,2,126,2,,1.82,1.82,1.82,15.66,0.538933154
HAO 58-19,HAO 58,bert,1,1,4,Low,Virgin,3,97,2,,,0,0,11.65,0
HAO 58-2,HAO 58,bert,1,1,4,Low,Sterile,2,72,1,,,0,0,11.48,0
HAO 58-20,HAO 58,bert,1,1,4,Low,Virgin,4,14,1,,,0,0,7.69,0
HAO 58-21,HAO 58,bert,1,1,4,High,Virgin,1,256,3,,,0,0,32.48,0
HAO 58-22,HAO 58,bert,1,1,4,High,Virgin,2,119,2,,,0,0,8.6,0
HAO 58-23,HAO 58,bert,1,1,4,High,Virgin,3,85,1,,,0,0,24.07,0
HAO 58-24,HAO 58,bert,1,1,4,High,Virgin,4,388,5,,,0,0,19.43,0
HAO 58-3,HAO 58,bert,1,1,4,Low,Sterile,3,164,2,,15.35,15.35,15.35,15.5,6.39
HAO 58-4,HAO 58,bert,1,1,4,Low,Sterile,4,8,1,,,0,0,15.06,0
HAO 58-5,HAO 58,bert,1,1,4,High,Sterile,1,4,1,,,0,0,9.9,0
HAO 58-6,HAO 58,bert,1,1,4,High,Sterile,2,320,4,,54.8,54.8,54.8,20.22,16.22721804
HAO 58-8,HAO 58,bert,1,1,4,High,Sterile,4,392,5,,,0,0,24.96,0
HAO 58-9,HAO 58,bert,1,1,4,Low,Hancock,1,18,1,,,0,0,9.95,0
HAO 76-1,HAO 76,bert,1,1,4,Low,Sterile,1,322,4,,68.72,68.72,68.72,3.43,17.85732286
HAO 76-11,HAO 76,bert,1,1,4,Low,Hancock,3,45,1,,20.33,20.33,20.33,0.52,12.47
HAO 76-12,HAO 76,bert,1,1,4,Low,Hancock,4,363,5,,89.5,89.5,89.5,2.17,14.63
HAO 76-13,HAO 76,bert,1,1,4,High,Hancock,1,17,1,,0.76,0.76,0.76,7.12,0.197490765
HAO 76-14,HAO 76,bert,1,1,4,High,Hancock,2,341,5,,87.4,87.4,87.4,15.32,22.71143798
HAO 76-17,HAO 76,bert,1,1,4,Low,Virgin,1,372,5,,95.35,95.35,95.35,4.53,18.03
HAO 76-18,HAO 76,bert,1,1,4,Low,Virgin,2,75,1,,8.2,8.2,8.2,1.33,2.130821413
HAO 76-19,HAO 76,bert,1,1,4,Low,Virgin,3,24,1,,24.12,24.12,24.12,1.91,6.267733229
HAO 76-2,HAO 76,bert,1,1,4,Low,Sterile,2,383,5,,86.89,86.89,86.89,5,18.56
HAO 76-21,HAO 76,bert,1,1,4,High,Virgin,1,288,4,,88.76,88.76,88.76,18.68,23.06484251
HAO 76-22,HAO 76,bert,1,1,4,High,Virgin,2,205,3,,58.77,58.77,58.77,13.04,17.74
HAO 76-3,HAO 76,bert,1,1,4,Low,Sterile,3,31,1,,13.23,13.23,13.22,6.96,3.435299887
HAO 76-4,HAO 76,bert,1,1,4,Low,Sterile,4,71,1,,29.06,29.06,29.06,1.82,7.551423202
HAO 76-5,HAO 76,bert,1,1,4,High,Sterile,1,129,2,,,0,0,14.06,0
HAO 76-6,HAO 76,bert,1,1,4,High,Sterile,2,408,5,,105.27,105.27,105.27,6.7,21.33
HAO 76-7,HAO 76,bert,1,1,4,High,Sterile,3,207,3,,66.58,66.58,66.58,12.92,12.85
HAO 76-8,HAO 76,bert,1,1,4,High,Sterile,4,192,3,,71.99,71.99,71.99,12.43,14.53
HAO 76-9,HAO 76,bert,1,1,4,Low,Hancock,1,385,5,,69.6,69.6,69.6,3.41,18.08599638
HHA 6451-1,HHA 6451,bert,1,1,4,Low,Sterile,1,40,1,,,0,0,2.79,0
HHA 6451-10,HHA 6451,bert,1,1,4,Low,Hancock,2,22,1,Flowering,,0,0,15.87,0
HHA 6451-15,HHA 6451,bert,1,1,4,High,Hancock,3,376,5,,,0,0,22.62,0
HHA 6451-17,HHA 6451,bert,1,1,4,Low,Virgin,1,242,3,,,0,0,9.04,27.18
HHA 6451-18,HHA 6451,bert,1,1,4,Low,Virgin,2,202,3,,6.75,6.75,6.75,17.11,2.65947881
HHA 6451-19,HHA 6451,bert,1,1,4,Low,Virgin,3,286,4,,23.03,23.03,23.03,5.21,7.07
HHA 6451-2,HHA 6451,bert,1,1,4,Low,Sterile,2,351,5,,,0,25.13,7.49,10.21
HHA 6451-20,HHA 6451,bert,1,1,4,Low,Virgin,4,233,3,,16.62,16.62,16.62,15.46,7.79
HHA 6451-21,HHA 6451,bert,1,1,4,High,Virgin,1,184,3,,,0,0,26.06,0
HHA 6451-23,HHA 6451,bert,1,1,4,High,Virgin,3,204,3,,,0,0,26.15,0
HHA 6451-24,HHA 6451,bert,1,1,4,High,Virgin,4,368,5,,2.01,2.01,2.01,18.66,0.79193369
HHA 6451-3,HHA 6451,bert,1,1,4,Low,Sterile,3,280,4,,40.54,40.54,40.54,11.38,15.97263273
HHA 6451-4,HHA 6451,bert,1,1,4,Low,Sterile,4,2,1,Flowering,,0,0,13.06,0
HHA 6451-5,HHA 6451,bert,1,1,4,High,Sterile,1,190,3,,,0,0,37.53,0
HHA 6451-6,HHA 6451,bert,1,1,4,High,Sterile,2,55,1,Flowering,,0,0,13.27,0
HHA 6451-7,HHA 6451,bert,1,1,4,High,Sterile,3,220,3,,,0,0,23.1,0
HHA 6451-8,HHA 6451,bert,1,1,4,High,Sterile,4,139,2,Flowering,1.55,1.55,1.55,14.04,0.610695134
HHA 6451-9,HHA 6451,bert,1,1,4,Low,Hancock,1,27,1,Flowering,,0,0,11.06,0
EBS 1797,EBS 1797,and,2,2,3,Low,Sterile,1,44,1,,11.66,11.66,11.66,6.56,3.803327429
EBS 1797,EBS 1797,and,2,2,3,Low,Virgin,3,49,1,,11.63,11.63,11.63,3.03,3.793541853
EBS 1797,EBS 1797,and,2,2,3,Low,Hancock,1,53,1,Flowering,12.3,12.3,12.3,1.4,4.012086396
