Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tubermass ,shoot,root,root:shoot,root:shoot_2,total_biomass
HHA 6451-4,HHA 6451,bert,1,1,4,Low,Sterile,4,2,1,Flowering,0,8.13,13.06,1.606396064,1.606396064,21.19
HAO 58-5,HAO 58,bert,1,1,4,High,Sterile,1,4,1,,0,23.96,9.9,0.413188648,0.413188648,33.86
HAO 58-4,HAO 58,bert,1,1,4,Low,Sterile,4,8,1,,0,5.24,15.06,2.874045802,2.874045802,20.3
HAO 58-20,HAO 58,bert,1,1,4,Low,Virgin,4,14,1,,0,3.44,7.69,2.235465116,2.235465116,11.13
HAO 76-13,HAO 76,bert,1,1,4,High,Hancock,1,17,1,,0.76,28.31,7.12,0.251501236,0.244926041,36.19
HAO 58-9,HAO 58,bert,1,1,4,Low,Hancock,1,18,1,,0,10.37,9.95,0.959498554,0.959498554,20.32
HHA 6451-10,HHA 6451,bert,1,1,4,Low,Hancock,2,22,1,Flowering,0,8.05,15.87,1.971428571,1.971428571,23.92
HAO 76-19,HAO 76,bert,1,1,4,Low,Virgin,3,24,1,,24.12,5.78,1.91,0.330449827,0.063879599,31.81
HHA 6451-9,HHA 6451,bert,1,1,4,Low,Hancock,1,27,1,Flowering,0,7.79,11.06,1.419768935,1.419768935,18.85
HAO 76-3,HAO 76,bert,1,1,4,Low,Sterile,3,31,1,,13.23,5.78,6.96,1.204152249,0.366123093,25.97
HHA 6451-1,HHA 6451,bert,1,1,4,Low,Sterile,1,40,1,,119,8.91,2.79,0.313131313,0.021812212,130.7
HAO 76-11,HAO 76,bert,1,1,4,Low,Hancock,3,45,1,,20.33,4.35,0.52,0.11954023,0.021069692,25.2
HHA 6451-6,HHA 6451,bert,1,1,4,High,Sterile,2,55,1,Flowering,0,46.17,13.27,0.287416071,0.287416071,59.44
HAO 76-4,HAO 76,bert,1,1,4,Low,Sterile,4,71,1,,29.06,2.25,1.82,0.808888889,0.058128393,33.13
HAO 58-2,HAO 58,bert,1,1,4,Low,Sterile,2,72,1,,0,5.43,11.48,2.114180479,2.114180479,16.91
HAO 76-18,HAO 76,bert,1,1,4,Low,Virgin,2,75,1,,8.2,2.49,1.33,0.534136546,0.124415341,12.02
HAO 58-23,HAO 58,bert,1,1,4,High,Virgin,3,85,1,,0,30.5,24.07,0.789180328,0.789180328,54.57
HAO 58-19,HAO 58,bert,1,1,4,Low,Virgin,3,97,2,,0,4.86,11.65,2.397119342,2.397119342,16.51
HAO 58-22,HAO 58,bert,1,1,4,High,Virgin,2,119,2,,0,18.41,8.6,0.467137425,0.467137425,27.01
HAO 58-18,HAO 58,bert,1,1,4,Low,Virgin,2,126,2,,1.82,5.71,15.66,2.742556918,2.079681275,23.19
HAO 76-5,HAO 76,bert,1,1,4,High,Sterile,1,129,2,,0,38.65,14.06,0.36377749,0.36377749,52.71
HHA 6451-8,HHA 6451,bert,1,1,4,High,Sterile,4,139,2,Flowering,1.55,61.79,14.04,0.227221233,0.221660878,77.38
HAO 58-17,HAO 58,bert,1,1,4,Low,Virgin,1,149,2,,2.48,6.75,19.09,2.828148148,2.068255688,28.32
HAO 58-3,HAO 58,bert,1,1,4,Low,Sterile,3,164,2,,15.35,8.69,15.5,1.783659379,0.644758735,39.54
HHA 6451-21,HHA 6451,bert,1,1,4,High,Virgin,1,184,3,,0,62.96,26.06,0.413913596,0.413913596,89.02
HHA 6451-5,HHA 6451,bert,1,1,4,High,Sterile,1,190,3,,0,55.16,37.53,0.680384336,0.680384336,92.69
HAO 76-8,HAO 76,bert,1,1,4,High,Sterile,4,192,3,,71.99,39.43,12.43,0.315242201,0.111559864,123.85
HHA 6451-18,HHA 6451,bert,1,1,4,Low,Virgin,2,202,3,,6.75,10.36,17.11,1.651544402,1,34.22
HHA 6451-23,HHA 6451,bert,1,1,4,High,Virgin,3,204,3,,0,49.37,26.15,0.529673891,0.529673891,75.52
HAO 76-22,HAO 76,bert,1,1,4,High,Virgin,2,205,3,,58.77,30.81,13.04,0.423239208,0.145568207,102.62
HAO 76-7,HAO 76,bert,1,1,4,High,Sterile,3,207,3,,66.58,30.33,12.92,0.425980877,0.133319575,109.83
HHA 6451-7,HHA 6451,bert,1,1,4,High,Sterile,3,220,3,,0,41.74,23.1,0.55342597,0.55342597,64.84
HHA 6451-20,HHA 6451,bert,1,1,4,Low,Virgin,4,233,3,,16.62,8.97,15.46,1.723522854,0.604142243,41.05
HAO 58-1,HAO 58,bert,1,1,4,Low,Sterile,1,239,3,,1.96,6.51,23.05,3.540706605,2.72136954,31.52
HHA 6451-17,HHA 6451,bert,1,1,4,Low,Virgin,1,242,3,,0,5.04,9.04,1.793650794,1.793650794,14.08
HAO 58-21,HAO 58,bert,1,1,4,High,Virgin,1,256,3,,0,31.15,32.48,1.042696629,1.042696629,63.63
HHA 6451-3,HHA 6451,bert,1,1,4,Low,Sterile,3,280,4,,40.54,7.29,11.38,1.561042524,0.237925988,59.21
HAO 58-10,HAO 58,bert,1,1,4,Low,Hancock,2,284,4,,0,6.78,25.48,3.758112094,3.758112094,32.26
